"Munsell","ISCCNBS","imgRGB.R","imgRGB.G","imgRGB.B","imgRGB.cluster"
"10YR 4/2","grayish yellowish brown",109.9047272,93.37222962,74.84076515,"2"
"10YR 4/3","moderate yellowish brown",115.4391761,92.04154575,64.42534838,"2"
"10YR 4/4","moderate yellowish brown",120.1253825,90.77856417,53.9940423,"2"
"10YR 4/6","strong yellowish brown",127.1231957,88.63572758,32.73190696,"2"
"10YR 4/8","strong yellowish brown",132.1695619,86.88581791,0,"5"
"10YR 5/1","light brownish gray",128.8643907,120.1772193,110.9339272,"6"
"10YR 5/2","grayish yellowish brown",135.2333013,118.9669867,100.3984603,"6"
"10YR 5/3","moderate yellowish brown",141.0280988,117.7127401,89.7334212,"2"
"10YR 5/4","moderate yellowish brown",146.2393856,116.4602226,78.77930248,"2"
"10YR 5/6","strong yellowish brown",155.2281271,113.9788602,54.85217949,"2"
"10YR 5/8","strong yellowish brown",161.5796957,111.9529651,27.51030813,"2"
"10YR 6/1","light brownish gray",154.9185509,146.0514953,135.9710272,"6"
"10YR 6/2","light grayish yellowish brown",161.4662005,144.8916778,124.8162354,"6"
"10YR 6/3","light yellowish brown",167.152674,143.7661664,114.1332866,"6"
"10YR 6/4","light yellowish brown",172.3733512,142.6198803,103.3871468,"6"
"10YR 6/6","dark orange yellow",182.2246392,140.1060092,79.93626425,"6"
"10YR 6/8","dark orange yellow",189.6883052,137.9585642,54.37243101,"6"
"10YR 7/1","yellowish gray",180.9269266,172.2213511,161.605107,"4"
"10YR 7/2","light grayish yellowish brown",187.5863249,171.1185315,149.9737321,"4"
"10YR 7/3","light yellowish brown",193.6852689,169.9727371,138.6228861,"4"
"10YR 7/4","light yellowish brown",199.2468471,168.8260689,127.315923,"4"
"10YR 7/6","moderate orange yellow",209.0139966,166.5667993,104.1712624,"4"
"10YR 7/8","moderate orange yellow",217.2052225,164.3637396,80.14524568,"6"
"10YR 8/1","yellowish gray",207.2703251,198.7408966,187.4229447,"4"
"10YR 8/2","pale orange yellow",213.9315781,197.7225999,175.2970508,"4"
"10YR 8/3","pale orange yellow",220.0372711,196.6489177,163.7691938,"4"
"10YR 8/4","pale orange yellow",225.7202324,195.5421138,152.391578,"4"
"10YR 8/6","light orange yellow",236.2062467,193.225022,128.9999927,"4"
"10YR 8/8","light orange yellow",245.3477117,190.9375833,103.7461488,"4"
"2.5YR 2.5/1","brownish gray",68.92636342,57.39364098,54.30907752,"1"
"2.5YR 2.5/2","grayish reddish brown",76.32914224,54.93849987,48.6534381,"1"
"2.5YR 2.5/3","moderate reddish brown",82.69324895,52.41896742,43.05713122,"3"
"2.5YR 2.5/4","moderate reddish brown",88.36533737,49.79082082,37.29472814,"3"
"2.5YR 2.5/6","strong brown",98.4532465,43.94485714,24.33340631,"3"
"2.5YR 2.5/8","strong brown",107.6292152,36.71381921,4.754012237,"5"
"2.5YR 3/1","brownish gray",81.40925522,68.85943944,65.09660057,"1"
"2.5YR 3/2","grayish reddish brown",89.43702022,66.28305154,58.64830484,"1"
"2.5YR 3/3","moderate reddish brown",96.10827292,63.76197038,52.49604633,"3"
"2.5YR 3/4","moderate reddish brown",102.0189661,61.1879712,46.25625186,"3"
"2.5YR 3/6","strong brown",112.6677727,55.53332703,32.18454975,"3"
"2.5YR 3/8","strong brown",121.250831,49.69587846,14.55973621,"3"
"2.5YR 4/1","brownish gray",105.9920327,93.46570579,89.17638601,"2"
"2.5YR 4/2","grayish reddish brown",114.4802513,90.94931569,82.26190538,"2"
"2.5YR 4/3","moderate reddish brown",122.1028874,88.34336808,75.33590484,"2"
"2.5YR 4/4","moderate reddish brown",128.834872,85.74230989,68.3797526,"2"
"2.5YR 4/6","strong brown",139.9355932,80.72488899,54.46449394,"2"
"2.5YR 4/8","strong brown",149.8382081,75.25280832,38.33695692,"2"
"2.5YR 5/1","light brownish gray",130.8112078,119.1500957,114.6764338,"6"
"2.5YR 5/2","light grayish reddish brown",139.1282219,116.8561139,107.8189879,"6"
"2.5YR 5/3","light reddish brown",146.8636769,114.4525074,100.9066825,"6"
"2.5YR 5/4","light reddish brown",154.0980964,111.9545304,93.76668029,"6"
"2.5YR 5/6","grayish reddish orange",167.4701716,106.6160729,78.1319149,"2"
"2.5YR 5/8","brownish orange",179.228659,100.9443529,61.03524426,"2"
"2.5YR 6/1","light brownish gray",156.9805008,144.9511125,140.1269602,"6"
"2.5YR 6/2","light grayish reddish brown",165.6153302,142.6515268,132.9163571,"6"
"2.5YR 6/3","light reddish brown",173.4368504,140.3580769,125.731247,"6"
"2.5YR 6/4","light reddish brown",180.7932824,137.9923963,118.4124091,"6"
"2.5YR 6/6","grayish reddish orange",194.9320585,132.7754729,102.8289932,"6"
"2.5YR 6/8","moderate orange",206.9876121,127.5380324,87.13752705,"6"
"2.5YR 7/1","pinkish gray",182.5573139,171.1951126,166.4828222,"4"
"2.5YR 7/2","grayish yellowish pink",191.1155651,168.9943741,159.3783221,"4"
"2.5YR 7/3","moderate yellowish pink",199.5430754,166.6365764,151.7235775,"4"
"2.5YR 7/4","moderate yellowish pink",207.6245543,164.1757614,143.7581643,"4"
"2.5YR 7/6","moderate orange",222.770986,158.9405404,127.2505706,"4"
"2.5YR 7/8","moderate orange",235.6290958,153.7781767,110.9923786,"4"
"2.5YR 8/1","pinkish gray",207.8027412,197.9374675,193.6117213,"4"
"2.5YR 8/2","pale yellowish pink",216.051142,195.8968501,186.7443014,"4"
"2.5YR 8/3","light yellowish pink",226.0879037,193.2079612,177.628298,"4"
"2.5YR 8/4","light yellowish pink",235.7096257,190.3958861,168.0491858,"4"
"2.5YR 8/6","light orange",251.0087786,185.3217207,151.7033029,"4"
"2.5YR 8/8","light orange",255,179.6856539,133.4121463,"4"
"2.5Y 2.5/1","brownish gray",64.8626029,59.14233946,51.09923996,"1"
"2.5Y 2.5/2","moderate olive brown",68.91671215,58.4673524,42.15201138,"1"
"2.5Y 2.5/3","moderate olive brown",72.50201324,57.76041805,32.40850675,"1"
"2.5Y 2.5/4","moderate olive brown",75.70495122,57.01294018,21.19046606,"5"
"2.5Y 2.5/6","moderate olive brown",81.50259988,55.26757263,0,"5"
"2.5Y 2.5/8","moderate olive brown",85.99123629,53.66985482,0,"5"
"2.5Y 3/1","brownish gray",77.00699376,70.73266726,61.69960769,"1"
"2.5Y 3/2","moderate olive brown",81.42405416,70.02216335,51.90466743,"1"
"2.5Y 3/3","moderate olive brown",85.23667421,69.28394471,41.9655953,"1"
"2.5Y 3/4","moderate olive brown",88.52584978,68.5506201,31.3139326,"3"
"2.5Y 3/6","moderate olive brown",93.95118289,67.09251395,0.70070888,"5"
"2.5Y 3/8","moderate olive brown",97.91953943,65.8682489,0,"5"
"2.5Y 4/1","brownish gray",102.1238107,95.23065901,84.60831178,"2"
"2.5Y 4/2","moderate olive brown",107.1442536,94.49246771,73.32397894,"2"
"2.5Y 4/3","moderate olive brown",111.6406051,93.67376235,62.08477602,"2"
"2.5Y 4/4","moderate olive brown",115.4418679,92.88815907,50.71728561,"2"
"2.5Y 4/6","moderate olive brown",121.0338012,91.56775628,26.57940446,"5"
"2.5Y 4/8","moderate olive brown",125.1354919,90.44045381,0,"5"
"2.5Y 5/1","light brownish gray",127.5513017,120.6987216,109.9849427,"6"
"2.5Y 5/2","light olive brown",132.7650509,119.9896835,98.53544544,"6"
"2.5Y 5/3","light olive brown",137.4709673,119.244853,86.89932653,"2"
"2.5Y 5/4","light olive brown",141.6795888,118.4918974,74.91383716,"2"
"2.5Y 5/6","light olive brown",148.9177062,116.9564047,48.30160557,"2"
"2.5Y 5/8","light olive brown",153.8184314,115.7212076,15.21458391,"2"
"2.5Y 6/1","light brownish gray",153.2976066,146.6927549,134.7664824,"6"
"2.5Y 6/2","light olive brown",158.5086005,146.1026567,122.5300492,"6"
"2.5Y 6/3","dark grayish yellow",163.2442575,145.4169764,110.9769094,"6"
"2.5Y 6/4","dark grayish yellow",167.6139681,144.6868246,99.37084699,"6"
"2.5Y 6/6","dark yellow",175.5659098,143.1493396,73.56292179,"6"
"2.5Y 6/8","deep yellow",181.9502965,141.6416347,44.56963544,"6"
"2.5Y 7/1","yellowish gray",179.2805862,172.8844052,160.2177177,"4"
"2.5Y 7/2","grayish yellow",184.5942925,172.3517534,147.4187307,"4"
"2.5Y 7/3","grayish yellow",189.8309689,171.5886312,135.4157333,"4"
"2.5Y 7/4","grayish yellow",194.6770533,170.776696,123.5720477,"4"
"2.5Y 7/6","moderate yellow",202.8335483,169.3130445,98.76534998,"6"
"2.5Y 7/8","strong yellow",209.2065548,168.0398328,72.09448323,"6"
"2.5Y 8/1","yellowish gray",205.8328716,199.3547444,185.8335484,"4"
"2.5Y 8/2","pale yellow",211.1765735,198.899639,172.3847416,"4"
"2.5Y 8/3","pale yellow",216.0354012,198.3204888,160.2509175,"4"
"2.5Y 8/4","pale yellow",220.6050308,197.67469,148.38278,"4"
"2.5Y 8/6","light yellow",229.2650386,196.2563536,122.8647418,"4"
"2.5Y 8/8","brilliant yellow",236.6467054,194.790961,96.81173427,"4"
"5Y 2.5/1","olive gray",63.47480613,59.6133049,50.96441441,"1"
"5Y 2.5/2","grayish olive",66.51158356,59.34617056,41.81233769,"1"
"5Y 2.5/3","moderate olive",69.4109997,58.98771102,31.40807783,"1"
"5Y 2.5/4","moderate olive",72.0062874,58.58295749,18.92920696,"5"
"5Y 2.5/6","moderate olive",76.44464598,57.64102982,0,"5"
"5Y 2.5/8","moderate olive",79.09262174,57.16664857,0,"5"
"5Y 3/1","olive gray",75.44138124,71.26519684,61.50658687,"1"
"5Y 3/2","grayish olive",78.70150623,71.00976752,51.49703509,"1"
"5Y 3/3","moderate olive",81.70729272,70.65602795,41.02824779,"1"
"5Y 3/4","moderate olive",84.34642617,70.26814128,29.57362567,"5"
"5Y 3/6","moderate olive",88.65828412,69.44663926,0,"5"
"5Y 3/8","moderate olive",91.63272893,68.8583619,0,"5"
"5Y 4/1","olive gray",100.4489848,95.8079469,84.25387841,"2"
"5Y 4/2","grayish olive",104.1615761,95.5777446,72.59001807,"2"
"5Y 4/3","moderate olive",107.605874,95.23335577,60.640074,"2"
"5Y 4/4","moderate olive",110.5612063,94.864042,48.37355373,"2"
"5Y 4/6","moderate olive",114.9990821,94.15478572,21.33806108,"5"
"5Y 4/8","moderate olive",118.2091823,93.50964311,0,"5"
"5Y 5/1","light olive gray",125.6319456,121.37192,109.3672764,"6"
"5Y 5/2","light grayish olive",129.3369485,121.2417423,97.32478034,"2"
"5Y 5/3","light olive",132.9904357,120.9602793,84.92047132,"2"
"5Y 5/4","light olive",136.3540155,120.6086015,72.1034337,"2"
"5Y 5/6","light olive",142.1381345,119.7870076,43.59419049,"2"
"5Y 5/8","light olive",145.8966042,119.1251461,1.963308431,"5"
"5Y 6/1","light olive gray",151.6689599,147.2702115,134.1319069,"6"
"5Y 6/2","light grayish olive",155.4555409,147.2173362,121.2752261,"6"
"5Y 6/3","dark grayish yellow",158.7925899,147.0908548,108.9783247,"6"
"5Y 6/4","dark grayish yellow",161.9543136,146.8737658,96.5755777,"6"
"5Y 6/6","dark yellow",168.325058,146.0976996,68.86636686,"6"
"5Y 6/8","deep yellow",172.8644071,145.4583705,36.04345743,"2"
"5Y 7/1","yellowish gray",177.8728233,173.3868134,159.6098443,"4"
"5Y 7/2","grayish yellow",181.7728305,173.3820593,146.1576679,"4"
"5Y 7/3","grayish yellow",185.1510798,173.3383629,133.2198544,"4"
"5Y 7/4","grayish yellow",188.2598004,173.2284989,120.4034677,"4"
"5Y 7/6","moderate yellow",194.2157531,172.7326797,93.89670953,"6"
"5Y 7/8","strong yellow",199.343954,172.0672557,65.29037038,"6"
"5Y 8/1","yellowish gray",204.3945026,199.8877006,184.9945177,"4"
"5Y 8/2","pale yellow",208.3146819,199.9702633,170.739078,"4"
"5Y 8/3","pale yellow",211.4178349,200.0539025,157.7470478,"4"
"5Y 8/4","pale yellow",214.3021724,200.0594293,145.0687527,"4"
"5Y 8/6","light yellow",220.482385,199.6621088,118.2211592,"4"
"5Y 8/8","brilliant yellow",225.7605623,199.1588214,89.55548907,"4"
"5YR 2.5/1","brownish gray",68.2715179,57.73793121,53.28604082,"1"
"5YR 2.5/2","grayish brown",75.02602406,55.69271818,46.58568878,"1"
"5YR 2.5/3","moderate brown",80.71772217,53.66575481,39.87094438,"3"
"5YR 2.5/4","moderate brown",85.75814062,51.59585481,32.74425274,"3"
"5YR 2.5/6","strong brown",94.77496716,47.07391852,14.34002989,"5"
"5YR 2.5/8","strong brown",102.5360005,42.06950045,0,"5"
"5YR 3/1","brownish gray",80.70917447,69.22892021,63.95610254,"1"
"5YR 3/2","grayish brown",88.04704063,67.07644967,56.41133772,"1"
"5YR 3/3","moderate brown",94.06031154,65.01150955,49.28357065,"3"
"5YR 3/4","moderate brown",99.32672725,62.94919092,42.00143903,"3"
"5YR 3/6","strong brown",108.6502472,58.60084174,24.55412367,"3"
"5YR 3/8","strong brown",115.6379893,54.61338042,0,"5"
"5YR 4/1","brownish gray",105.5405689,93.76338037,87.79431119,"2"
"5YR 4/2","grayish brown",113.5040402,91.59260524,79.5239104,"2"
"5YR 4/3","moderate brown",120.579009,89.37023595,71.24872753,"2"
"5YR 4/4","moderate brown",126.7004765,87.20879613,62.97264446,"2"
"5YR 4/6","strong brown",136.3743927,83.26084955,46.65290357,"2"
"5YR 4/8","strong brown",144.4149463,79.35145629,27.35841761,"2"
"5YR 5/1","light brownish gray",130.5058906,119.3872303,113.3650167,"6"
"5YR 5/2","light grayish brown",138.3958249,117.3834681,105.1757711,"6"
"5YR 5/3","light brown",145.5119157,115.3725511,96.81606945,"6"
"5YR 5/4","light brown",152.0837737,113.3139165,88.20178304,"6"
"5YR 5/6","brownish orange",164.2968015,108.8564306,69.60383863,"2"
"5YR 5/8","brownish orange",174.2406227,104.5450416,49.455878,"2"
"5YR 6/1","light brownish gray",156.6302307,145.2144344,138.6982587,"6"
"5YR 6/2","light grayish brown",164.8212892,143.2124217,130.1136004,"6"
"5YR 6/3","light brown",172.1019058,141.2491842,121.7308084,"6"
"5YR 6/4","light brown",178.8628664,139.2589658,113.1643301,"6"
"5YR 6/6","moderate orange",191.6364116,135.0068624,94.22827216,"6"
"5YR 6/8","moderate orange",202.4906549,130.7508722,74.77622929,"6"
"5YR 7/1","pinkish gray",182.5847955,171.3677813,164.7208053,"4"
"5YR 7/2","brownish pink",190.8820543,169.4106523,155.9865275,"4"
"5YR 7/3","moderate yellowish pink",198.5653192,167.4397311,147.0985947,"4"
"5YR 7/4","moderate yellowish pink",205.7658882,165.4369181,138.0123374,"4"
"5YR 7/6","moderate orange",219.2076009,161.2232611,118.9228539,"4"
"5YR 7/8","moderate orange",230.274094,157.2298438,100.2866425,"4"
"5YR 8/1","pinkish gray",208.3902102,197.9913428,191.2649594,"4"
"5YR 8/2","pale yellowish pink",216.5706392,196.1479132,182.4280381,"4"
"5YR 8/3","light yellowish pink",225.1384203,194.0374961,172.5652534,"4"
"5YR 8/4","light yellowish pink",233.2254438,191.8743479,162.4918532,"4"
"5YR 8/6","light orange",247.0567119,187.7134111,143.6263169,"4"
"5YR 8/8","light orange",255,183.2430849,121.6993475,"4"
"7.5YR 2.5/1","brownish gray",67.4507044,58.12633413,52.35112449,"1"
"7.5YR 2.5/2","grayish brown",73.45358958,56.51032923,44.71011546,"1"
"7.5YR 2.5/3","moderate brown",78.41609912,54.9628207,36.97088229,"3"
"7.5YR 2.5/4","moderate brown",82.74733659,53.42762198,28.54010326,"3"
"7.5YR 2.5/6","strong brown",90.3690662,50.20381577,3.333222108,"5"
"7.5YR 2.5/8","strong brown",95.97228227,47.39630533,0,"5"
"7.5YR 3/1","brownish gray",79.90903789,69.60080482,63.08739987,"1"
"7.5YR 3/2","grayish brown",86.52895635,67.85144601,54.64938801,"1"
"7.5YR 3/3","moderate brown",91.90205426,66.21520072,46.42406311,"3"
"7.5YR 3/4","moderate brown",96.46731455,64.65079109,37.92862235,"3"
"7.5YR 3/6","strong brown",104.055392,61.61615202,17.23172815,"5"
"7.5YR 3/8","strong brown",109.6229017,59.00784679,0,"5"
"7.5YR 4/1","brownish gray",104.9233891,94.07905665,86.76936121,"2"
"7.5YR 4/2","grayish brown",112.2676304,92.25959493,77.44257201,"2"
"7.5YR 4/3","moderate brown",118.685729,90.45223631,67.87970915,"2"
"7.5YR 4/4","moderate brown",124.1169195,88.74652588,58.27247443,"2"
"7.5YR 4/6","strong brown",132.3965983,85.74484005,39.72776621,"2"
"7.5YR 4/8","strong brown",138.685763,83.13568842,14.54477402,"5"
"7.5YR 5/1","light brownish gray",129.9003493,119.6949661,112.3299186,"6"
"7.5YR 5/2","light grayish brown",137.2231883,118.008238,103.101265,"6"
"7.5YR 5/3","light brown",143.8772358,116.2986628,93.60904816,"6"
"7.5YR 5/4","light brown",149.9259396,114.5812995,83.80552848,"2"
"7.5YR 5/6","strong yellowish brown",160.6695954,111.0653167,62.59668956,"2"
"7.5YR 5/8","strong yellowish brown",168.6704702,108.0365736,39.16186717,"2"
"7.5YR 6/1","light brownish gray",156.0759799,145.5248122,137.4461125,"6"
"7.5YR 6/2","light grayish brown",163.6985593,143.8455274,127.6737122,"6"
"7.5YR 6/3","light brown",170.4448348,142.1938666,118.2320509,"6"
"7.5YR 6/4","light brown",176.5915408,140.556006,108.6573309,"6"
"7.5YR 6/6","dark orange yellow",187.6899277,137.2658539,87.64647456,"6"
"7.5YR 6/8","dark orange yellow",196.9444477,134.0791847,65.08088908,"6"
"7.5YR 7/1","yellowish gray",182.0732584,171.6890125,163.2080363,"4"
"7.5YR 7/2","brownish pink",189.8120587,170.0635019,153.0822538,"4"
"7.5YR 7/3","light yellowish brown",196.9427103,168.4029283,143.1109869,"4"
"7.5YR 7/4","light yellowish brown",203.4877766,166.7536526,133.0418775,"4"
"7.5YR 7/6","moderate orange yellow",215.0615561,163.5488934,111.8399568,"4"
"7.5YR 7/8","moderate orange yellow",224.6365036,160.5165192,90.34131589,"4"
"7.5YR 8/1","yellowish gray",208.190776,198.2511814,189.3528856,"4"
"7.5YR 8/2","pale yellowish pink",215.8434472,196.7388123,178.8925411,"4"
"7.5YR 8/3","pale orange yellow",223.1398524,195.1522876,168.2966718,"4"
"7.5YR 8/4","pale orange yellow",230.0025266,193.5232948,157.6790979,"4"
"7.5YR 8/6","light orange yellow",242.6183339,190.1158407,136.6054492,"4"
"7.5YR 8/8","light orange yellow",253.751712,186.7793262,112.9894614,"4"
"10Y 2.5/1","olive gray",60.83541003,60.3894088,51.57430029,"1"
"10Y 2.5/2","grayish olive",61.70244206,60.8330671,42.89736647,"1"
"10Y 2.5/3","moderate olive",62.59405548,61.22503195,32.4692038,"1"
"10Y 2.5/4","moderate olive",63.38941477,61.55438949,19.48256705,"5"
"10Y 2.5/6","moderate olive",64.62812416,62.05294497,0,"5"
"10Y 2.5/8","moderate olive",64.00367789,62.90107687,0,"5"
"10Y 3/1","olive gray",72.59261816,72.12216567,61.92330543,"1"
"10Y 3/2","grayish olive",73.54909555,72.62639558,52.20699339,"1"
"10Y 3/3","moderate olive",74.53522999,73.03351224,41.3341375,"1"
"10Y 3/4","moderate olive",75.37134199,73.36419546,29.14836704,"1"
"10Y 3/6","moderate olive",76.43904037,73.86815013,0,"5"
"10Y 3/8","moderate olive",77.30692187,74.20655151,0,"5"
"10Y 4/1","olive gray",97.32537484,96.73782247,84.76060826,"2"
"10Y 4/2","grayish olive",98.46731542,97.34049949,73.45707132,"2"
"10Y 4/3","moderate olive",99.58294069,97.84909983,61.1383619,"2"
"10Y 4/4","moderate olive",100.5321737,98.25855885,48.1791919,"2"
"10Y 4/6","moderate olive",101.8365541,98.81763236,18.15543263,"5"
"10Y 4/8","moderate olive",102.6236786,99.17790344,0,"5"
"10Y 5/1","light olive gray",122.8905642,122.197748,109.6297563,"6"
"10Y 5/2","light grayish olive",124.1598601,122.8490428,97.75677551,"2"
"10Y 5/3","light olive",125.3517473,123.4294545,85.05417539,"2"
"10Y 5/4","light olive",126.3966861,123.9242499,71.79483973,"2"
"10Y 5/6","light olive",128.0263388,124.6714933,42.32833349,"2"
"10Y 5/8","light olive",129.1633387,125.0985881,0,"5"
"10Y 6/1","light olive gray",148.9273182,148.1217176,134.0967626,"6"
"10Y 6/2","light grayish olive",150.3371118,148.8363519,121.2152996,"6"
"10Y 6/3","light olive",151.5412234,149.4329245,108.7522178,"6"
"10Y 6/4","light olive",152.615242,149.9486012,96.08180741,"6"
"10Y 6/6","dark greenish yellow",154.524281,150.8066615,67.43633269,"6"
"10Y 6/8","deep greenish yellow",155.8595614,151.4266774,30.64257296,"2"
"10Y 7/1","yellowish gray",175.049026,174.2697864,159.4864525,"4"
"10Y 7/2","grayish yellow green",176.5292461,175.0456853,145.9393218,"4"
"10Y 7/3","grayish greenish yellow",177.8571899,175.6935463,132.7831774,"4"
"10Y 7/4","grayish greenish yellow",179.0643686,176.2402742,119.7458757,"6"
"10Y 7/6","moderate greenish yellow",181.216269,177.0840798,93.07543761,"6"
"10Y 7/8","strong greenish yellow",182.8261725,177.7921652,61.43593717,"6"
"10Y 8/1","yellowish gray",201.7121005,200.7691597,184.4217918,"4"
"10Y 8/2","pale yellow green",203.3730238,201.5997913,169.760697,"4"
"10Y 8/3","pale greenish yellow",204.7772431,202.2360628,156.7025142,"4"
"10Y 8/4","pale greenish yellow",206.0139106,202.78743,143.9694152,"4"
"10Y 8/6","light greenish yellow",208.1180984,203.8153463,116.2828312,"4"
"10Y 8/8","brilliant greenish yellow",209.9095135,204.5709839,86.57541968,"4"
"5GY 2.5/1","dark greenish gray",58.21133637,61.00086683,53.37791053,"1"
"5GY 2.5/2","grayish olive green",56.50175623,62.06112175,46.55436696,"1"
"5GY 2.5/3","moderate olive green",54.46459958,63.17322001,38.38221438,"1"
"5GY 2.5/4","moderate olive green",52.1708153,64.25535896,28.91885195,"1"
"5GY 2.5/6","moderate olive green",46.66190613,66.30292657,0,"5"
"5GY 2.5/8","strong olive green",41.9087849,67.85259408,0,"5"
"5GY 3/1","dark greenish gray",69.67346539,72.81334633,63.81615363,"1"
"5GY 3/2","grayish olive green",67.80744462,74.00976219,55.90098865,"1"
"5GY 3/3","moderate olive green",65.51025743,75.26634296,46.68335652,"1"
"5GY 3/4","moderate olive green",63.15111303,76.40707817,36.69007054,"1"
"5GY 3/6","moderate olive green",58.55077173,78.26264536,11.72699565,"5"
"5GY 3/8","strong olive green",53.43562391,79.91324626,0,"5"
"5GY 4/1","dark greenish gray",94.1288089,97.49392072,86.85445676,"2"
"5GY 4/2","grayish olive green",92.25516703,98.83586042,77.53309029,"2"
"5GY 4/3","moderate olive green",90.08808154,100.1968122,67.01613988,"2"
"5GY 4/4","moderate olive green",87.8488594,101.4386058,56.00315354,"2"
"5GY 4/6","moderate olive green",83.23015119,103.5212049,32.5772994,"5"
"5GY 4/8","deep yellow green",78.83414771,105.1858073,0,"5"
"5GY 5/1","greenish gray",119.4700241,123.0449399,111.4514041,"6"
"5GY 5/2","grayish yellow green",117.5930251,124.4721286,101.4925695,"2"
"5GY 5/3","moderate yellow green",115.7000402,125.8036315,91.12357468,"2"
"5GY 5/4","moderate yellow green",113.6961915,127.0620225,80.30349529,"2"
"5GY 5/6","moderate yellow green",109.0330448,129.460539,55.99269188,"2"
"5GY 5/8","strong yellow green",104.6136439,131.3742668,24.27836502,"2"
"5GY 6/1","greenish gray",145.2749267,149.0618942,135.6784428,"6"
