S1Code,S1long,S1lat,S2Code,S2long,S2lat,JacDissim,JacSim
TNU,51.52121667,30.1224,B,54.40972222,28.64277778,0.769230769,0.230769231
TRA,53.05774722,30.11208333,MS11,51.33366667,30.35426667,0.769230769,0.230769231
TS1,52.44638889,28.85666667,MS11,51.33366667,30.35426667,0.769230769,0.230769231
H,53.51537389,30.50747583,B,54.40972222,28.64277778,0.777777778,0.222222222
TK1,52.50527778,29.58277778,TJ2,52.884524,29.944845,0.777777778,0.222222222
TS1,52.44638889,28.85666667,TK1,52.50527778,29.58277778,0.777777778,0.222222222
TQA,52.76638889,29.17416667,TNU,51.52121667,30.1224,0.785714286,0.214285714
TS1,52.44638889,28.85666667,KH,52.06511333,29.88179778,0.785714286,0.214285714
TJ2,52.884524,29.944845,MS10,51.32983333,30.35716667,0.8,0.2
TM1,52.96494722,29.81067222,TK2,52.44198611,29.91753611,0.8,0.2
TM2,52.67156944,30.17562222,TJ1,52.93935833,29.83546667,0.8,0.2
TQA,52.76638889,29.17416667,TK2,52.44198611,29.91753611,0.8,0.2
TRA,53.05774722,30.11208333,MS10,51.32983333,30.35716667,0.8,0.2
TS1,52.44638889,28.85666667,MS10,51.32983333,30.35716667,0.8,0.2
TJ2,52.884524,29.944845,H,53.51537389,30.50747583,0.818181818,0.181818182
TK2,52.44198611,29.91753611,MS11,51.33366667,30.35426667,0.818181818,0.181818182
TM1,52.96494722,29.81067222,MS20,51.33611667,30.353,0.818181818,0.181818182
TM2,52.67156944,30.17562222,MS11,51.33366667,30.35426667,0.818181818,0.181818182
MS20,51.33611667,30.353,MS11,51.33366667,30.35426667,0.833333333,0.166666667
TK1,52.50527778,29.58277778,H,53.51537389,30.50747583,0.833333333,0.166666667
TK2,52.44198611,29.91753611,KH,52.06511333,29.88179778,0.833333333,0.166666667
TK2,52.44198611,29.91753611,TJ2,52.884524,29.944845,0.833333333,0.166666667
TQA,52.76638889,29.17416667,MS20,51.33611667,30.353,0.833333333,0.166666667
TQA,52.76638889,29.17416667,TM1,52.96494722,29.81067222,0.833333333,0.166666667
TRA,53.05774722,30.11208333,TK2,52.44198611,29.91753611,0.833333333,0.166666667
TRA,53.05774722,30.11208333,TM2,52.67156944,30.17562222,0.833333333,0.166666667
TS1,52.44638889,28.85666667,TK2,52.44198611,29.91753611,0.833333333,0.166666667
TS1,52.44638889,28.85666667,TM2,52.67156944,30.17562222,0.833333333,0.166666667
TNU,51.52121667,30.1224,TM2,52.67156944,30.17562222,0.846153846,0.153846154
TJ2,52.884524,29.944845,MS20,51.33611667,30.353,0.857142857,0.142857143
TK2,52.44198611,29.91753611,TK1,52.50527778,29.58277778,0.857142857,0.142857143
TM2,52.67156944,30.17562222,TK1,52.50527778,29.58277778,0.857142857,0.142857143
TJ2,52.884524,29.944845,KH,52.06511333,29.88179778,0.866666667,0.133333333
MS10,51.32983333,30.35716667,H,53.51537389,30.50747583,0.875,0.125
TK1,52.50527778,29.58277778,B,54.40972222,28.64277778,0.875,0.125
TK2,52.44198611,29.91753611,H,53.51537389,30.50747583,0.888888889,0.111111111
TM2,52.67156944,30.17562222,H,53.51537389,30.50747583,0.888888889,0.111111111
TQA,52.76638889,29.17416667,TK1,52.50527778,29.58277778,0.888888889,0.111111111
MS20,51.33611667,30.353,H,53.51537389,30.50747583,0.9,0.1
TB2,52.59,30.08,MS10,51.32983333,30.35716667,0.9,0.1
TJ1,52.93935833,29.83546667,MS10,51.32983333,30.35716667,0.9,0.1
TM1,52.96494722,29.81067222,AR,53.40545556,29.86275833,0.9,0.1
TS4,52.65,29.56138889,TM1,52.96494722,29.81067222,0.9,0.1
MS11,51.33366667,30.35426667,MS10,51.32983333,30.35716667,0.909090909,0.090909091
TK2,52.44198611,29.91753611,TJ1,52.93935833,29.83546667,0.909090909,0.090909091
TM2,52.67156944,30.17562222,TM1,52.96494722,29.81067222,0.909090909,0.090909091
KH,52.06511333,29.88179778,AR,53.40545556,29.86275833,0.916666667,0.083333333
TB2,52.59,30.08,B,54.40972222,28.64277778,0.916666667,0.083333333
TB2,52.59,30.08,MS20,51.33611667,30.353,0.916666667,0.083333333
TJ1,52.93935833,29.83546667,MS20,51.33611667,30.353,0.916666667,0.083333333
TM1,52.96494722,29.81067222,B,54.40972222,28.64277778,0.916666667,0.083333333
TS4,52.65,29.56138889,KH,52.06511333,29.88179778,0.916666667,0.083333333
TM2,52.67156944,30.17562222,KH,52.06511333,29.88179778,0.923076923,0.076923077
TNU,51.52121667,30.1224,MS10,51.32983333,30.35716667,0.923076923,0.076923077
TQA,52.76638889,29.17416667,TB2,52.59,30.08,0.923076923,0.076923077
KH,52.06511333,29.88179778,B,54.40972222,28.64277778,0.928571429,0.071428571
MS20,51.33611667,30.353,KH,52.06511333,29.88179778,0.928571429,0.071428571
TM1,52.96494722,29.81067222,TJ2,52.884524,29.944845,0.928571429,0.071428571
TNU,51.52121667,30.1224,TK2,52.44198611,29.91753611,0.928571429,0.071428571
TNU,51.52121667,30.1224,MS20,51.33611667,30.353,0.933333333,0.066666667
TQA,52.76638889,29.17416667,KH,52.06511333,29.88179778,0.933333333,0.066666667
B,54.40972222,28.64277778,AR,53.40545556,29.86275833,1,0
H,53.51537389,30.50747583,AR,53.40545556,29.86275833,1,0
MS10,51.32983333,30.35716667,AR,53.40545556,29.86275833,1,0
MS10,51.32983333,30.35716667,KH,52.06511333,29.88179778,1,0
MS11,51.33366667,30.35426667,AR,53.40545556,29.86275833,1,0
MS20,51.33611667,30.353,AR,53.40545556,29.86275833,1,0
MS20,51.33611667,30.353,B,54.40972222,28.64277778,1,0
MS20,51.33611667,30.353,MS10,51.32983333,30.35716667,1,0
TB2,52.59,30.08,AR,53.40545556,29.86275833,1,0
TJ1,52.93935833,29.83546667,AR,53.40545556,29.86275833,1,0
TJ2,52.884524,29.944845,AR,53.40545556,29.86275833,1,0
TK1,52.50527778,29.58277778,AR,53.40545556,29.86275833,1,0
TK1,52.50527778,29.58277778,MS10,51.32983333,30.35716667,1,0
TK1,52.50527778,29.58277778,MS20,51.33611667,30.353,1,0
TK2,52.44198611,29.91753611,AR,53.40545556,29.86275833,1,0
TK2,52.44198611,29.91753611,MS10,51.32983333,30.35716667,1,0
TK2,52.44198611,29.91753611,TB2,52.59,30.08,1,0
TM1,52.96494722,29.81067222,MS10,51.32983333,30.35716667,1,0
TM2,52.67156944,30.17562222,AR,53.40545556,29.86275833,1,0
TM2,52.67156944,30.17562222,MS10,51.32983333,30.35716667,1,0
TM2,52.67156944,30.17562222,MS20,51.33611667,30.353,1,0
TM2,52.67156944,30.17562222,TB2,52.59,30.08,1,0
TNU,51.52121667,30.1224,AR,53.40545556,29.86275833,1,0
TQA,52.76638889,29.17416667,AR,53.40545556,29.86275833,1,0
TRA,53.05774722,30.11208333,AR,53.40545556,29.86275833,1,0
TRA,53.05774722,30.11208333,MS20,51.33611667,30.353,1,0
TS1,52.44638889,28.85666667,AR,53.40545556,29.86275833,1,0
TS1,52.44638889,28.85666667,MS20,51.33611667,30.353,1,0
TS4,52.65,29.56138889,B,54.40972222,28.64277778,1,0
TS4,52.65,29.56138889,H,53.51537389,30.50747583,1,0
TS4,52.65,29.56138889,MS10,51.32983333,30.35716667,1,0
TS4,52.65,29.56138889,MS11,51.33366667,30.35426667,1,0
TS4,52.65,29.56138889,MS20,51.33611667,30.353,1,0
TS4,52.65,29.56138889,TB2,52.59,30.08,1,0
TS4,52.65,29.56138889,TJ1,52.93935833,29.83546667,1,0
TS4,52.65,29.56138889,TJ2,52.884524,29.944845,1,0
TS4,52.65,29.56138889,TK1,52.50527778,29.58277778,1,0
TS4,52.65,29.56138889,TK2,52.44198611,29.91753611,1,0
TS4,52.65,29.56138889,TM2,52.67156944,30.17562222,1,0
TS4,52.65,29.56138889,TNU,51.52121667,30.1224,1,0
TS4,52.65,29.56138889,TQA,52.76638889,29.17416667,1,0
TS4,52.65,29.56138889,TRA,53.05774722,30.11208333,1,0
TS4,52.65,29.56138889,TS1,52.44638889,28.85666667,1,0
