Munsell,ISCCNBS,R,G,B,L,a,b
10YR 5/2,grayish yellowish brown,135.2333013,118.9669867,100.3984603,51.01815622,3.182093821,12.53160869
10YR 5/3,moderate yellowish brown,141.0280988,117.7127401,89.7334212,51.02327295,4.8285177,18.8246105
10YR 5/4,moderate yellowish brown,146.2393856,116.4602226,78.77930248,51.02723805,6.481661863,25.19450091
10YR 5/6,strong yellowish brown,155.2281271,113.9788602,54.85217949,51.03223044,9.759715197,38.41393863
10YR 5/8,strong yellowish brown,161.5796957,111.9529651,27.51030813,51.03418949,12.40848755,50.8163448
10YR 6/1,light brownish gray,154.9185509,146.0514953,135.9710272,61.05527353,1.46646754,6.513185929
10YR 6/2,light grayish yellowish brown,161.4662005,144.8916778,124.8162354,61.06281938,2.847888812,12.91654759
10YR 6/3,light yellowish brown,167.152674,143.7661664,114.1332866,61.0687425,4.225350798,19.01485546
10YR 6/4,light yellowish brown,172.3733512,142.6198803,103.3871468,61.07345907,5.660184941,25.0900217
10YR 6/6,dark orange yellow,182.2246392,140.1060092,79.93626425,61.07980897,8.886846522,37.95321095
10YR 6/8,dark orange yellow,189.6883052,137.9585642,54.37243101,61.083683,11.60263846,50.66317348
10YR 7/1,yellowish gray,180.9269266,172.2213511,161.605107,70.87039543,1.24720134,6.567690408
10YR 7/2,light grayish yellowish brown,187.5863249,171.1185315,149.9737321,70.87871534,2.46709843,13.04780242
10YR 7/3,light yellowish brown,193.6852689,169.9727371,138.6228861,70.88535534,3.805056267,19.344993
10YR 7/4,light yellowish brown,199.2468471,168.8260689,127.315923,70.89083575,5.173939256,25.5700819
10YR 7/6,moderate orange yellow,209.0139966,166.5667993,104.1712624,70.89912725,7.915282192,38.03906875
10YR 7/8,moderate orange yellow,217.2052225,164.3637396,80.14524568,70.90391823,10.64762154,50.24933188
10YR 8/1,yellowish gray,207.2703251,198.7408966,187.4229447,80.53737405,1.014455245,6.720092376
10YR 8/2,pale orange yellow,213.9315781,197.7225999,175.2970508,80.54654336,2.038553467,13.29819721
10YR 8/3,pale orange yellow,220.0372711,196.6489177,163.7691938,80.55374457,3.217444746,19.53135531
10YR 8/4,pale orange yellow,225.7202324,195.5421138,152.391578,80.55967065,4.483918625,25.64809541
10YR 8/6,light orange yellow,236.2062467,193.225022,128.9999927,80.56874753,7.226805071,38.02810085
10YR 8/8,light orange yellow,245.3477117,190.9375833,103.7461488,80.57525626,9.963392225,50.84093744
2.5YR 2.5/1,brownish gray,68.92636342,57.39364098,54.30907752,25.25138929,4.466704032,3.800297075
2.5YR 2.5/2,grayish reddish brown,76.32914224,54.93849987,48.6534381,25.24641821,8.51893753,7.670815931
2.5YR 2.5/3,moderate reddish brown,82.69324895,52.41896742,43.05713122,25.24078952,12.34398709,11.49605322
2.5YR 2.5/4,moderate reddish brown,88.36533737,49.79082082,37.29472814,25.23461848,16.00432131,15.41011261
2.5YR 2.5/6,strong brown,98.4532465,43.94485714,24.33340631,25.22036465,23.09197735,23.94605957
2.5YR 2.5/8,strong brown,107.6292152,36.71381921,4.754012237,25.20307528,30.15415932,34.26563604
2.5YR 3/1,brownish gray,81.40925522,68.85943944,65.09660057,30.37421602,4.631106845,4.250791787
2.5YR 3/2,grayish reddish brown,89.43702022,66.28305154,58.64830484,30.36974956,8.780913466,8.528059551
2.5YR 3/3,moderate reddish brown,96.10827292,63.76197038,52.49604633,30.36480782,12.55464215,12.60167152
2.5YR 3/4,moderate reddish brown,102.0189661,61.1879712,46.25625186,30.35938608,16.13623889,16.70740213
2.5YR 3/6,strong brown,112.6677727,55.53332703,32.18454975,30.34669019,23.14326187,25.71000573
2.5YR 3/8,strong brown,121.250831,49.69587846,14.55973621,30.33330559,29.28755777,35.56846919
2.5YR 4/1,brownish gray,105.9920327,93.46570579,89.17638601,40.7333593,4.245541442,4.30417432
2.5YR 4/2,grayish reddish brown,114.4802513,90.94931569,82.26190538,40.73002886,8.185552221,8.657079145
2.5YR 4/3,moderate reddish brown,122.1028874,88.34336808,75.33590484,40.72586065,12.04661163,13.01396079
