"S1Code","S1Ware","S1long","S1lat","S2Code","S2Ware","S2long","S2lat","JacDissim","JacSim"
"TK1","TK1-JW","52.50527778","29.58277778","AR","AR-SW","53.40545556","29.86275833","0.2","0.8"
"TK1","TK1-JW","52.50527778","29.58277778","H","H-PA","53.51537389","30.50747583","0.777777777777778","0.222222222222222"
"TK1","TK1-JW","52.50527778","29.58277778","KH","KH-BB","52.06511333","29.88179778","0.2","0.8"
"TK1","TK1-JW","52.50527778","29.58277778","KH","KH-BBR","52.06511333","29.88179778","0.428571428571429","0.571428571428571"
"TK1","TK1-JW","52.50527778","29.58277778","KH","KH-BRPW","52.06511333","29.88179778","0.333333333333333","0.666666666666667"
"TK1","TK1-JW","52.50527778","29.58277778","KH","KH-BW","52.06511333","29.88179778","0.2","0.8"
"TK1","TK1-JW","52.50527778","29.58277778","KH","KH-RB","52.06511333","29.88179778","0.5","0.5"
"TK1","TK1-JW","52.50527778","29.58277778","MS10","MS10-CW","51.32983333","30.35716667","0.5","0.5"
"TK1","TK1-JW","52.50527778","29.58277778","MS11","MS11-CW","51.33366667","30.35426667","0.5","0.5"
"TK1","TK1-JW","52.50527778","29.58277778","MS20","MS20-CW","51.33611667","30.353","0","1"
"TK1","TK1-JW","52.50527778","29.58277778","TJ1","TJ1-BPBW","52.93935833","29.83546667","0.166666666666667","0.833333333333333"
"TK1","TK1-KW","52.50527778","29.58277778","AR","AR-SW","53.40545556","29.86275833","0.5","0.5"
"TK1","TK1-KW","52.50527778","29.58277778","H","H-PA","53.51537389","30.50747583","0.9","0.1"
"TK1","TK1-KW","52.50527778","29.58277778","KH","KH-BB","52.06511333","29.88179778","0.5","0.5"
"TK1","TK1-KW","52.50527778","29.58277778","KH","KH-BBR","52.06511333","29.88179778","0.625","0.375"
"TK1","TK1-KW","52.50527778","29.58277778","KH","KH-BRPW","52.06511333","29.88179778","0.333333333333333","0.666666666666667"
"TK1","TK1-KW","52.50527778","29.58277778","KH","KH-BW","52.06511333","29.88179778","0.5","0.5"
"TK1","TK1-KW","52.50527778","29.58277778","KH","KH-RB","52.06511333","29.88179778","0.2","0.8"
"TK1","TK1-KW","52.50527778","29.58277778","MS10","MS10-CW","51.32983333","30.35716667","0.666666666666667","0.333333333333333"
"TK1","TK1-KW","52.50527778","29.58277778","MS11","MS11-CW","51.33366667","30.35426667","0.666666666666667","0.333333333333333"
"TK1","TK1-KW","52.50527778","29.58277778","MS20","MS20-CW","51.33611667","30.353","0.571428571428572","0.428571428571428"
"TK1","TK1-KW","52.50527778","29.58277778","TJ1","TJ1-BPBW","52.93935833","29.83546667","0.625","0.375"
"TK1","TK1-KW","52.50527778","29.58277778","TK1","TK1-JW","52.50527778","29.58277778","0.571428571428572","0.428571428571428"
"TK1","TK1-MW","52.50527778","29.58277778","AR","AR-SW","53.40545556","29.86275833","0.666666666666667","0.333333333333333"
"TK1","TK1-MW","52.50527778","29.58277778","H","H-PA","53.51537389","30.50747583","0.75","0.25"
"TK1","TK1-MW","52.50527778","29.58277778","KH","KH-BB","52.06511333","29.88179778","0.666666666666667","0.333333333333333"
"TK1","TK1-MW","52.50527778","29.58277778","KH","KH-BBR","52.06511333","29.88179778","0.571428571428572","0.428571428571428"
"TK1","TK1-MW","52.50527778","29.58277778","KH","KH-BRPW","52.06511333","29.88179778","0.5","0.5"
"TK1","TK1-MW","52.50527778","29.58277778","KH","KH-BW","52.06511333","29.88179778","0.666666666666667","0.333333333333333"
"TK1","TK1-MW","52.50527778","29.58277778","KH","KH-RB","52.06511333","29.88179778","0.4","0.6"
"TK1","TK1-MW","52.50527778","29.58277778","MS10","MS10-CW","51.32983333","30.35716667","0.428571428571429","0.571428571428571"
"TK1","TK1-MW","52.50527778","29.58277778","MS11","MS11-CW","51.33366667","30.35426667","0.428571428571429","0.571428571428571"
"TK1","TK1-MW","52.50527778","29.58277778","MS20","MS20-CW","51.33611667","30.353","0.714285714285714","0.285714285714286"
"TK1","TK1-MW","52.50527778","29.58277778","TJ1","TJ1-BPBW","52.93935833","29.83546667","0.75","0.25"
"TK1","TK1-MW","52.50527778","29.58277778","TK1","TK1-JW","52.50527778","29.58277778","0.714285714285714","0.285714285714286"
"TK1","TK1-MW","52.50527778","29.58277778","TK1","TK1-KW","52.50527778","29.58277778","0.5","0.5"
"TM1","TM1-BIS","52.96494722","29.81067222","AR","AR-SW","53.40545556","29.86275833","0.5","0.5"
"TM1","TM1-BIS","52.96494722","29.81067222","H","H-PA","53.51537389","30.50747583","0.6","0.4"
"TM1","TM1-BIS","52.96494722","29.81067222","KH","KH-BB","52.06511333","29.88179778","0.5","0.5"
"TM1","TM1-BIS","52.96494722","29.81067222","KH","KH-BBR","52.06511333","29.88179778","0.25","0.75"
"TM1","TM1-BIS","52.96494722","29.81067222","KH","KH-BRPW","52.06511333","29.88179778","0.555555555555556","0.444444444444444"
"TM1","TM1-BIS","52.96494722","29.81067222","KH","KH-BW","52.06511333","29.88179778","0.5","0.5"
"TM1","TM1-BIS","52.96494722","29.81067222","KH","KH-RB","52.06511333","29.88179778","0.666666666666667","0.333333333333333"
"TM1","TM1-BIS","52.96494722","29.81067222","MS10","MS10-CW","51.32983333","30.35716667","0.5","0.5"
"TM1","TM1-BIS","52.96494722","29.81067222","MS11","MS11-CW","51.33366667","30.35426667","0.5","0.5"
"TM1","TM1-BIS","52.96494722","29.81067222","MS20","MS20-CW","51.33611667","30.353","0.375","0.625"
"TM1","TM1-BIS","52.96494722","29.81067222","TJ1","TJ1-BPBW","52.93935833","29.83546667","0.444444444444444","0.555555555555556"
"TM1","TM1-BIS","52.96494722","29.81067222","TK1","TK1-JW","52.50527778","29.58277778","0.375","0.625"
"TM1","TM1-BIS","52.96494722","29.81067222","TK1","TK1-KW","52.50527778","29.58277778","0.7","0.3"
"TM1","TM1-BIS","52.96494722","29.81067222","TK1","TK1-MW","52.50527778","29.58277778","0.666666666666667","0.333333333333333"
"TM1","TM1-BUS","52.96494722","29.81067222","AR","AR-SW","53.40545556","29.86275833","0","1"
"TM1","TM1-BUS","52.96494722","29.81067222","H","H-PA","53.51537389","30.50747583","0.75","0.25"
"TM1","TM1-BUS","52.96494722","29.81067222","KH","KH-BB","52.06511333","29.88179778","0","1"
"TM1","TM1-BUS","52.96494722","29.81067222","KH","KH-BBR","52.06511333","29.88179778","0.333333333333333","0.666666666666667"
"TM1","TM1-BUS","52.96494722","29.81067222","KH","KH-BRPW","52.06511333","29.88179778","0.5","0.5"
"TM1","TM1-BUS","52.96494722","29.81067222","KH","KH-BW","52.06511333","29.88179778","0","1"
"TM1","TM1-BUS","52.96494722","29.81067222","KH","KH-RB","52.06511333","29.88179778","0.4","0.6"
"TM1","TM1-BUS","52.96494722","29.81067222","MS10","MS10-CW","51.32983333","30.35716667","0.625","0.375"
"TM1","TM1-BUS","52.96494722","29.81067222","MS11","MS11-CW","51.33366667","30.35426667","0.625","0.375"
