Site Code,Site,Ware Code,Pottery Identifier,LongDD,LatDD,SurfacePale,SurfaceLight,SurfaceMod,SurfaceDark,SlipPale,SlipLight,SlipMod,SlipDark,Decorated,Burnished,PaintPale,PaintLight,PaintMod,PaintDark,Incised,SlipBichrome,PaintBichrome,Slip Crusted
TQA,Tol-e Qasr-e Ahmad ,TQA-PAB,Painted Buff,52.76638889,29.17416667,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
TQA,Tol-e Qasr-e Ahmad ,TQA-PLB,Plain Buff,52.76638889,29.17416667,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TQA,Tol-e Qasr-e Ahmad ,TQA-SR,Simple Red,52.76638889,29.17416667,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TRA,Tepe Rahmat Abad,TRA-FM,Formative Mushki,53.05774722,30.11208333,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
TRA,Tepe Rahmat Abad,TRA-RW,Red Ware,53.05774722,30.11208333,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
TRA,Tepe Rahmat Abad,TRA-SW,Simple Ware,53.05774722,30.11208333,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TS1,Tol-e Sabz,TS1-BB,Black-on-buff,52.44638889,28.85666667,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
TS1,Tol-e Sabz,TS1-RR,Red-on-red,52.44638889,28.85666667,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
TS1,Tol-e Sabz,TS1-SU,Simple unpainted,52.44638889,28.85666667,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TS2,Tepe Sarab,TS2-BSW,Black-Slipped Ware,47.26297778,34.35730833,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
TS2,Tepe Sarab,TS2-BW,Buff Ware,47.26297778,34.35730833,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
TS2,Tepe Sarab,TS2-RSW,Red-Slipped Ware,47.26297778,34.35730833,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
TS2,Tepe Sarab,TS2-SPW,Standard Painted Ware,47.26297778,34.35730833,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
TS3,Tepe Sialk,TS3-DRP,Dark Red Painted,51.40472222,33.96888889,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
TS3,Tepe Sialk,TS3-S1BW,Sialk I Buff Ware,51.40472222,33.96888889,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
TS3,Tepe Sialk,TS3-S1PR,Sialk I Painted Red,51.40472222,33.96888889,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
TS3,Tepe Sialk,TS3-SBW,Simple Black Ware,51.40472222,33.96888889,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
TS3,Tepe Sialk,TS3-SRW,Simple Red Ware,51.40472222,33.96888889,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
TS4,Tol-e Sangi,TS4-F,Formative,52.65,29.56138889,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
TS5,Tepe Sabz,TS5-JPA,Jaffar Painted,47.219425,32.637341,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
TS5,Tepe Sabz,TS5-JPL,Jaffar Plain,47.219425,32.637341,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
TS5,Tepe Sabz,TS5-KR,Khazineh Red,47.219425,32.637341,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
TSY,Tappeh Sarab-e Yavari,TSY-BS,Buff-Slipped,46.90979444,34.48015833,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
TSY,Tappeh Sarab-e Yavari,TSY-RS,Red -Slipped,46.90979444,34.48015833,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
TT1,Tepe Tula'i,TT1-BCR,Sefid Black-on-Cream,48.54013333,32.40388611,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
TT1,Tepe Tula'i,TT1-JPA,Jaffar Painted,48.54013333,32.40388611,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
TT1,Tepe Tula'i,TT1-JPAS,Jaffar Painted Black-on-Salmon,48.54013333,32.40388611,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0
TT1,Tepe Tula'i,TT1-JPL,Jaffar Plain,48.54013333,32.40388611,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
TT1,Tepe Tula'i,TT1-KR,Khazineh Red,48.54013333,32.40388611,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
TT1,Tepe Tula'i,TT1-SBU,Sefid Burnished,48.54013333,32.40388611,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TT1,Tepe Tula'i,TT1-SCR,Sefid Red-on-Cream,48.54013333,32.40388611,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0
TT2,Tureng Tepe,TT2-CA,Cheshmeh Ali,54.58651944,36.93831944,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0
TT2,Tureng Tepe,TT2-D,Djeitun,54.58651944,36.93831944,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0
TV,Tappeh Valiki,TV-L,Local,53.24673889,36.79325278,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
