"S1Code","S1long","S1lat","S2Code","S2long","S2lat","JacDissim","JacSim"
"AR","53.40545556","29.86275833","MS11","51.33366667","51.33366667","1","0"
"AR","53.40545556","29.86275833","MS20","51.33611667","51.33611667","1","0"
"AR","53.40545556","29.86275833","TM2","52.884524","52.884524","1","0"
"AR","53.40545556","29.86275833","KH","52.06511333","52.06511333","0.916666666666667","0.0833333333333334"
"AR","53.40545556","29.86275833","TM1","52.96494722","52.96494722","1","0"
"AR","53.40545556","29.86275833","TM1B","52.96494722","52.96494722","1","0"
"AR","53.40545556","29.86275833","TJ1","52.93935833","52.93935833","1","0"
"AR","53.40545556","29.86275833","TJK1","52.50527778","52.50527778","1","0"
"AR","53.40545556","29.86275833","TNU","51.52121667","51.52121667","1","0"
"AR","53.40545556","29.86275833","TQA","52.76638889","52.76638889","1","0"
"AR","53.40545556","29.86275833","B","54.40972222","54.40972222","1","0"
"AR","53.40545556","29.86275833","TJ2","52.884524","52.884524","1","0"
"TB2","52.59","30.08","TS1","52.44638889","52.44638889","0.846153846153846","0.153846153846154"
"TB2","52.59","30.08","H","53.51537389","53.51537389","0.823529411764706","0.176470588235294"
"TB2","52.59","30.08","TK2","52.44198611","52.44198611","1","0"
"TB2","52.59","30.08","TS4","52.65","52.65","1","0"
"TB2","52.59","30.08","MS10","51.32983333","51.32983333","0.909090909090909","0.0909090909090909"
"TB2","52.59","30.08","MS11","51.33366667","51.33366667","0.9","0.1"
"TB2","52.59","30.08","MS20","51.33611667","51.33611667","1","0"
"TB2","52.59","30.08","TM2","52.884524","52.884524","1","0"
"TB2","52.59","30.08","KH","52.06511333","52.06511333","0.777777777777778","0.222222222222222"
"TB2","52.59","30.08","TM1","52.96494722","52.96494722","0.888888888888889","0.111111111111111"
"TB2","52.59","30.08","TM1B","52.96494722","52.96494722","0.75","0.25"
"TB2","52.59","30.08","TJ1","52.93935833","52.93935833","0.777777777777778","0.222222222222222"
"TB2","52.59","30.08","TJK1","52.50527778","52.50527778","0.785714285714286","0.214285714285714"
"TB2","52.59","30.08","TNU","51.52121667","51.52121667","0.75","0.25"
"TB2","52.59","30.08","TQA","52.76638889","52.76638889","0.928571428571429","0.0714285714285714"
"TB2","52.59","30.08","B","54.40972222","54.40972222","0.916666666666667","0.0833333333333334"
"TB2","52.59","30.08","TJ2","52.884524","52.884524","0.933333333333333","0.0666666666666667"
"TB2","52.59","30.08","AR","53.40545556","53.40545556","1","0"
"TRA","53.05774722","30.11208333","TS1","52.44638889","52.44638889","0.909090909090909","0.0909090909090909"
"TRA","53.05774722","30.11208333","H","53.51537389","53.51537389","0.785714285714286","0.214285714285714"
"TRA","53.05774722","30.11208333","TK2","52.44198611","52.44198611","1","0"
"TRA","53.05774722","30.11208333","TS4","52.65","52.65","1","0"
"TRA","53.05774722","30.11208333","MS10","51.32983333","51.32983333","0.875","0.125"
"TRA","53.05774722","30.11208333","MS11","51.33366667","51.33366667","0.944444444444444","0.0555555555555556"
"TRA","53.05774722","30.11208333","MS20","51.33611667","51.33611667","1","0"
"TRA","53.05774722","30.11208333","TM2","52.884524","52.884524","1","0"
"TRA","53.05774722","30.11208333","KH","52.06511333","52.06511333","0.8125","0.1875"
"TRA","53.05774722","30.11208333","TM1","52.96494722","52.96494722","0.866666666666667","0.133333333333333"
"TRA","53.05774722","30.11208333","TM1B","52.96494722","52.96494722","0.8","0.2"
"TRA","53.05774722","30.11208333","TJ1","52.93935833","52.93935833","0.8125","0.1875"
"TRA","53.05774722","30.11208333","TJK1","52.50527778","52.50527778","0.833333333333333","0.166666666666667"
"TRA","53.05774722","30.11208333","TNU","51.52121667","51.52121667","0.9","0.1"
"TRA","53.05774722","30.11208333","TQA","52.76638889","52.76638889","0.909090909090909","0.0909090909090909"
"TRA","53.05774722","30.11208333","B","54.40972222","54.40972222","0.888888888888889","0.111111111111111"
"TRA","53.05774722","30.11208333","TJ2","52.884524","52.884524","0.916666666666667","0.0833333333333334"
"TRA","53.05774722","30.11208333","AR","53.40545556","53.40545556","1","0"
"TRA","53.05774722","30.11208333","TB2","52.59","52.59","0.692307692307692","0.307692307692308"
